Measure	DAX Expression	Parent	Child	Tables	Columns
MARIS_DA	 CALCULATE ( [YTD_Maris], FT_MARIS_VW[ITEM] = "EBITDA" )     - CALCULATE ( [YTD_Maris], FT_MARIS_VW[ITEM_KEY] = "4800003" )	YTD_Maris; Total Maris		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; FT_MARIS_VW[ITEM]; FT_MARIS_VW[ITEM_KEY]
MARIS_PM	 //previous month VAR PM = [Sel_Mth] - 1 //previous month in case of Year Switch VAR PYM = [Sel_Mth] + 11 //current year VAR CY = [Sel_Year] //previous year VAR PY = [Sel_Year] - 1 // calculation CY VAR CY_calc =     CALCULATE (         [Total Maris],         ALL ( DT_Date[Date], DT_Date[Month_short], DT_Date[Year] ),         KEEPFILTERS (             MONTH ( FT_MARIS_VW[CALENDAR_DATE] ) = PM                 && YEAR ( FT_MARIS_VW[CALENDAR_DATE] ) = CY         )     ) // calculation PY VAR PY_calc =     CALCULATE (         [Total Maris],         ALL ( DT_Date[Date], DT_Date[Month_short], DT_Date[Year] ),         KEEPFILTERS (             MONTH ( FT_MARIS_VW[CALENDAR_DATE] ) = PYM                 && YEAR ( FT_MARIS_VW[CALENDAR_DATE] ) = PY         )     ) RETURN     IF ( [Sel_Mth] = 1, PY_calc, CY_calc )	Sel_Mth; Sel_Year; Total Maris	MARIS_AMvsPM%	DT_Date; FT_MARIS_VW	DT_Date[Month_Number]; DT_Date[Year]; FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; DT_Date[Month_short]; FT_MARIS_VW[CALENDAR_DATE]
MARIS_PYM	 VAR CM = [Sel_Mth] VAR CY = [Sel_Year] - 1 RETURN     CALCULATE (         [Total Maris],         ALL ( DT_Date[Date], DT_Date[Month_short], DT_Date[Year] ),         KEEPFILTERS (             MONTH ( FT_MARIS_VW[CALENDAR_DATE] ) = CM                 && YEAR ( FT_MARIS_VW[CALENDAR_DATE] ) = CY         )     )	Sel_Mth; Sel_Year; Total Maris	MARIS_AMvsPYM%	DT_Date; FT_MARIS_VW	DT_Date[Month_Number]; DT_Date[Year]; FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; DT_Date[Month_short]; FT_MARIS_VW[CALENDAR_DATE]
Monat-WTB	 MONTH ( MAX ( FT_MARIS_VW[CALENDAR_DATE] ) )		MARIS_Capital-Costs_PYTD; MARIS_Capital-Costs_YTD	FT_MARIS_VW	FT_MARIS_VW[CALENDAR_DATE]
PYTDMARIS	 TOTALYTD ( [Total Maris], SAMEPERIODLASTYEAR ( DT_Date[Date] ) )	Total Maris	MARIS_ROCEPY; ROCY vs PY; MARIS_Capital-Costs_PYTD; YTD_VS_PYTD%	FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]
MARIS_ROCE	 CALCULATE ( [YTD_Maris], FT_MARIS_VW[ITEM_KEY] = "4800003" )     / (         (             CALCULATE ( [YTD_Maris], FT_MARIS_VW[ITEM_KEY] = "K199003" ) / 12         )     )	YTD_Maris; Total Maris	ROCY vs PY	FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; FT_MARIS_VW[ITEM_KEY]
MARIS_ROCEPY	 CALCULATE ( [PYTDMARIS], FT_MARIS_VW[ITEM_KEY] = "4800003" )     / (         (             CALCULATE ( [PYTDMaris], FT_MARIS_VW[ITEM_KEY] = "K199003" ) / 12         )     ) -- EBIT/ROCE-Basis //FT_MARIS_VW[ITEM_KEY]="K480003")/((CALCULATE([PYTDMARIS],FT_MARIS_VW[ITEM_KEY]="K362003")/12)) -- EBIT(REGIONS)/CAPITAL COST BASIS	PYTDMARIS; Total Maris	ROCY vs PY	FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; FT_MARIS_VW[ITEM_KEY]
ROCY vs PY	 [MARIS_ROCE] - [MARIS_ROCEPY]	MARIS_ROCE; YTD_Maris; Total Maris; MARIS_ROCEPY; PYTDMARIS		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; FT_MARIS_VW[ITEM_KEY]
MARIS_AMvsPM%	 [Total Maris] / [MARIS_PM] - 1	Total Maris; MARIS_PM; Sel_Mth; Sel_Year		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Month_Number]; DT_Date[Year]; DT_Date[Date]; DT_Date[Month_short]; FT_MARIS_VW[CALENDAR_DATE]
MARIS_AMvsPYM%	 [Total Maris] / [MARIS_PYM] - 1	Total Maris; MARIS_PYM; Sel_Mth; Sel_Year		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Month_Number]; DT_Date[Year]; DT_Date[Date]; DT_Date[Month_short]; FT_MARIS_VW[CALENDAR_DATE]
MARIS_Capital-Costs_PYTD	 [PYTDMARIS] / [Monat-WTB]	PYTDMARIS; Total Maris; Monat-WTB		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; FT_MARIS_VW[CALENDAR_DATE]
MARIS_Capital-Costs_YTD	 [YTD_Maris] / [Monat-WTB]	YTD_Maris; Total Maris; Monat-WTB		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]; FT_MARIS_VW[CALENDAR_DATE]
YTD_Maris	 TOTALYTD ( [Total Maris], DT_Date[Date] )	Total Maris	MARIS_DA; MARIS_ROCE; ROCY vs PY; MARIS_Capital-Costs_YTD; YTD_VS_PYTD%	FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]
MARIS_2	 CALCULATE ( SUM ( FT_MARIS_VW[VALUE_EUR] ), ALL ( DT_Date[Month_short] ) ) / 1000			FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Month_short]
YTD_VS_PYTD%	 [YTD_Maris] / [PYTDMARIS] - 1	YTD_Maris; Total Maris; PYTDMARIS		FT_MARIS_VW; DT_Date	FT_MARIS_VW[VALUE_EUR]; DT_Date[Date]
Total BG	 CALCULATE ( SUM ( FT_Budget_EPME[Value] ) )		OP; Δ OP	FT_Budget_EPME	FT_Budget_EPME[Value]
Total FC P&L	 // This measure is used to calculate the FC values for all KPIs except Net Sales 3rd and Volumes 3rd CALCULATE (     SUM ( Historical[Value] ) ) / 1000		FC; FYFC; Δ FYFC FYPY; Δ OP	Historical	Historical[Value]
Total FC 3rd	 // This measure is used to calculate the FC value for NET SALES 3rd, VOLUMES 3rd or PRICE DIVIDE (     CALCULATE ( SUM ( FT_FC_EPME[Value] ) ),     1000 )		FC; FYFC; Δ FYFC FYPY; Δ OP	FT_FC_EPME	FT_FC_EPME[Value]
Total Maris	 CALCULATE ( SUM ( FT_MARIS_VW[VALUE_EUR] ) ) / 1000		MARIS_DA; MARIS_PM; MARIS_PYM; PYTDMARIS; MARIS_ROCE; MARIS_ROCEPY; ROCY vs PY; MARIS_AMvsPM%; MARIS_AMvsPYM%; MARIS_Capital-Costs_PYTD; MARIS_Capital-Costs_YTD; YTD_Maris; YTD_VS_PYTD%; Total Cost Raw Mat.; Act Mth; FYFC; FYPY; PYTD; YTD; Δ FYFC FYPY; Δ OP; Δ PYP; Raw Mat; Raw Mat Cost CY; Raw Mat Cost FC incl Act	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]
Total Net Sales	 CALCULATE ( SUM ( FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[Net_Sales] ) ) / 1000000		Act Mth; FYFC; FYPY; PYTD; YTD; Δ FYFC FYPY; Δ OP; Δ PYP	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[NET_SALES]
Total Vol Ocean	 // The total Volume comming from OCEAN SUM ( FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[Standard_Quantity_KG] ) / 1000000		Act Mth; FYFC; FYPY; PYTD; YTD; Δ FYFC FYPY; Δ OP; Δ PYP; Raw Mat; Raw Mat Cost CY; Raw Mat Cost FC incl Act; Raw Mat Price YTD_v2; Raw Mat Price_v2; RawP FC Price Kg FYFC; Vol YTD; ΔPY Volumes	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[STANDARD_QUANTITY_KG]
Total NS Transfers	 SUM ( FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[NET_SALES_INCL_TRANSFERS] )		Raw Mat Price YTD_v2; Raw Mat Price_v2; RawP FC Price Kg FYFC	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched	FT_OCEAN_SalesAnalysis_Union_BASF_Enriched[NET_SALES_INCL_TRANSFERS]
Total Cost Raw Mat.	 CALCULATE ( [Total Maris], KEEPFILTERS ( FT_MARIS_VW[ITEM_KEY] = "3209993" ) )	Total Maris	Raw Mat; Raw Mat Cost CY; Raw Mat Cost FC incl Act	FT_MARIS_VW	FT_MARIS_VW[VALUE_EUR]; FT_MARIS_VW[ITEM_KEY]
